sor_id_account_id,transaction_date_transaction_id,category_id_transaction_date,transaction_id,account_id,sor_id,sor_cust_id,transaction_display_name,transaction_logo_url,category_id,category_display_name,transaction_type,transaction_amount,transaction_date,transaction_metadata,created_at,modified_at,ttl
7-98765432109,20230718~e4d0ce8324e14d3abe2ae65d496e5b9b,9aed0775-9cb6-4f1b-ba90-909b1faa9716~20230718,e4d0ce8324e14d3abe2ae65d496e5b9b,98765432109,7,555222222,Costco,,9aed0775-9cb6-4f1b-ba90-909b1faa9716,Grocery,DEBIT_POSTED,-201.6,2023-07-18T03:28:59Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1689650939,1689650939,0
7-98765432109,20230723~96d12b1d4713495bb92e55912a499878,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3~20230723,96d12b1d4713495bb92e55912a499878,98765432109,7,555222222,Chipotle,,3ae529db-b734-46c9-a96f-ccc4b3c7b0f3,Dining,DEBIT_POSTED,-109.34,2023-07-23T18:15:56Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1690136156,1690136156,0
7-98765432109,20230702~5a95e5794cc742ba8a98d20b5c631a69,91490896-5044-4d51-b539-de3fb7cf6eab~20230702,5a95e5794cc742ba8a98d20b5c631a69,98765432109,7,555111111,Regal Cinemas,,91490896-5044-4d51-b539-de3fb7cf6eab,Entertainment,DEBIT_POSTED,-57.05,2023-07-02T09:45:06Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1688291106,1688291106,0
7-98765432109,20230723~1b9f47242d4e4ccfbcf4637bde9a41e4,79ab14a4-37d7-419d-9f23-2e2e7ac69a8b~20230723,1b9f47242d4e4ccfbcf4637bde9a41e4,98765432109,7,555222222,LensCrafters,,79ab14a4-37d7-419d-9f23-2e2e7ac69a8b,Healthcare,DEBIT_POSTED,-198.62,2023-07-23T17:41:24Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1690134084,1690134084,0
7-98765432109,20230726~184e8b0ce4e3429da7880b09e94e8360,91490896-5044-4d51-b539-de3fb7cf6eab~20230726,184e8b0ce4e3429da7880b09e94e8360,98765432109,7,555111111,Netflix,,91490896-5044-4d51-b539-de3fb7cf6eab,Entertainment,DEBIT_POSTED,-146.4,2023-07-26T10:32:26Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1690367546,1690367546,0
7-98765432109,20230708~3fbe127a182b44b6bbfc4511a578dcd5,91452010-672d-43ff-b791-82cc0408419a~20230708,3fbe127a182b44b6bbfc4511a578dcd5,98765432109,7,555111111,Disney Store,,91452010-672d-43ff-b791-82cc0408419a,Kids,DEBIT_POSTED,-59.18,2023-07-08T07:23:42Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1688801022,1688801022,0
7-98765432109,20230731~2866544ddda9446389c83c3fe111d688,9aed0775-9cb6-4f1b-ba90-909b1faa9716~20230731,2866544ddda9446389c83c3fe111d688,98765432109,7,555111111,Kroger,,9aed0775-9cb6-4f1b-ba90-909b1faa9716,Grocery,DEBIT_POSTED,-80.52,2023-07-31T10:55:38Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1690800938,1690800938,0
7-98765432109,20230703~2dc90b88c2754b0cb4e67cd65f88c636,818e5e04-1c30-4ec3-80b2-ea506235bc65~20230703,2dc90b88c2754b0cb4e67cd65f88c636,98765432109,7,555111111,United Airlines,,818e5e04-1c30-4ec3-80b2-ea506235bc65,Travel,DEBIT_POSTED,-412.37,2023-07-03T04:33:18Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1688358798,1688358798,0
7-98765432109,20230710~cd70258b2e114b49b9f79df21d65d746,79ab14a4-37d7-419d-9f23-2e2e7ac69a8b~20230710,cd70258b2e114b49b9f79df21d65d746,98765432109,7,555111111,Walgreens,,79ab14a4-37d7-419d-9f23-2e2e7ac69a8b,Healthcare,DEBIT_POSTED,-269.84,2023-07-10T19:52:06Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""1111""}]",1689018726,1689018726,0
7-98765432109,20230722~c3fe53acf84546e89fa138b84c1dd8d4,b5c53165-295a-41f2-842b-b6ad44e3f62c~20230722,c3fe53acf84546e89fa138b84c1dd8d4,98765432109,7,555222222,Nordstrom,,b5c53165-295a-41f2-842b-b6ad44e3f62c,Luxury Retail,DEBIT_POSTED,-225.41,2023-07-22T06:00:11Z,"[{""metadata_name"": ""transacting_card_last_four"", ""metadata_value"": ""2222""}]",1690005611,1690005611,0
